Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2020-01-02,119.03644561767578,119.04489077291281,117.49248843363206,117.9396439549783,10803700
2020-01-03,117.4655990600586,118.22130467113,116.39572763114539,116.75235144078313,10386800
2020-01-06,117.37216186523438,117.40613343114413,115.90320907036407,115.95415346287253,10259000
2020-01-07,115.37676239013672,117.05799206617905,115.32581799940147,116.56550802847862,10531300
2020-01-08,116.27684020996094,116.82026875850697,115.1390387108737,115.22394172874611,9695300
2020-01-09,116.70137786865234,117.37216732849674,116.36172697552618,117.21933414385757,9469000
2020-01-10,115.53810119628906,116.54004215202404,115.31732488265791,116.50608354181118,10190900
2020-01-13,116.49758911132812,116.49758911132812,115.27487179012046,115.63999488626077,12355200
2020-01-14,117.85617065429688,119.52041476331547,116.913660434674,117.1259373944417,24906000
2020-01-15,116.09002685546875,117.68635376729931,115.60602915955336,117.04952287668915,16293400
2020-01-16,116.54002380371094,117.09193858818128,116.19188656114747,116.70984274075147,10783800
2020-01-17,117.34669494628906,117.42311153848834,116.59948889530159,116.78628069078088,14697700
2020-01-21,116.1919174194336,117.23632942449925,116.06455642191722,116.48911035544893,8474200
2020-01-22,116.0560531616211,116.66741184192604,115.80133117512521,116.5315644345807,7549100
2020-01-23,115.93720245361328,116.10703442138833,114.39183260646887,115.23245420405911,9345700
2020-01-24,113.05870819091797,115.84378097990654,112.35396005740238,115.79283658050618,15166400
2020-01-27,112.10768127441406,112.88037234048642,110.13775827634504,110.61325648428051,12860500
2020-01-28,114.14554595947266,114.60407138937096,112.48978847674158,112.79546777788853,13062800
2020-01-29,113.97574615478516,115.0880753952981,113.51723360420378,114.46823027584394,9326000
2020-01-30,115.38526153564453,115.58905207742913,112.66811909363554,112.66811909363554,9048900
2020-01-31,112.38789367675781,114.4851906946919,111.63218835555094,114.19649719138928,12785200
2020-02-03,113.2455062866211,113.98423890347024,112.64264698742977,112.64264698742977,10021100
2020-02-04,114.87580108642578,115.98814330904722,114.69749568454448,115.09657743056599,9157100
2020-02-05,116.82874298095703,116.94761755865933,115.48715105754118,115.96266232470764,10150700
2020-02-06,116.8457260131836,117.42311310375041,116.42117210905262,117.38066807842286,8992300
2020-02-07,116.47212982177734,116.89668377445118,115.73341009015955,116.09852027040702,6379800
2020-02-10,116.95610809326172,117.04951046556845,116.11548674250125,116.28530570405266,5960700
2020-02-11,117.1768569946289,117.87313149437188,116.99005227305663,117.39762032178038,6578600
2020-02-12,117.1768569946289,118.27220017443481,117.00703805402357,117.68632677279959,7958000
2020-02-13,117.07496643066406,117.46554869244622,115.8182777854276,116.96457829059958,7447500
2020-02-14,116.71834564208984,117.33819061140889,116.2768060273363,117.04099774532665,6627600
2020-02-18,115.1729965209961,116.93065611568404,114.67202596307037,116.61647737831423,8996400
2020-02-19,116.74384307861328,117.50803496184152,115.76736127631322,116.25135897035334,7071200
