Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
2020-01-02,53.6617317199707,53.75255182783589,53.16219802902453,53.16219802902453,12456400
2020-01-03,53.230308532714844,54.01744870286314,53.101642888646005,53.994737905891476,17386900
2020-01-06,53.639015197753906,54.00987736570928,53.15462214487567,53.22273721117698,20081900
2020-01-07,53.200035095214844,53.37411079044114,52.60968139067175,53.35897603302098,17387700
2020-01-08,52.39775848388672,53.200033413476795,52.35234266421992,53.06379750331803,15137700
2020-01-09,52.79890060424805,52.90486123544568,51.943639513896876,52.329642255786155,14811800
2020-01-10,52.32963180541992,52.95026071038824,52.31449705016613,52.927555690297474,11995600
2020-01-13,52.82917404174805,52.88215435548808,52.306935396009706,52.375050467494994,9953900
2020-01-14,52.37504196166992,52.662654281910775,52.14041572098516,52.511277856936594,16261000
2020-01-15,52.29179763793945,52.67023012027888,52.14042695477225,52.375053246007845,11390300
2020-01-16,52.087425231933594,52.662643985530764,52.07229047960535,52.450722806421034,13340300
2020-01-17,51.89065170288086,52.284224654268726,51.68630073635213,52.03445787062879,18144100
2020-01-21,51.148921966552734,51.784685594472826,51.09594166422606,51.75441031108331,17982600
2020-01-22,50.8537483215332,51.23974521621431,50.709942160130296,51.13378460499751,17033100
2020-01-23,50.535865783691406,50.65696693690074,49.99092791751185,50.49045573844831,19605900
2020-01-24,50.195274353027344,50.467746148669775,49.98335312850997,50.361785536411084,18238600
2020-01-27,48.99943161010742,49.748732012588135,48.969156321423476,49.514099968892765,21231000
2020-01-28,48.931312561035156,49.34758475413052,48.91617203071436,49.27946969094816,19664700
2020-01-29,48.52260971069336,49.29460937605816,48.36366877295416,49.21892404014726,14202800
2020-01-30,49.03727340698242,49.10538847048618,48.00793676828684,48.272838305946635,18544700
2020-01-31,47.016441345214844,47.83385672859542,46.81965776433256,47.83385672859542,34282900
2020-02-03,45.96439743041992,46.48663308567361,45.69192564951888,46.45636068895904,27389300
2020-02-04,45.38917922973633,46.8574957810246,45.32862866487833,46.509338694720654,31922100
2020-02-05,47.47812271118164,47.62949622998385,45.866000077276105,45.9795309381802,32099200
2020-02-06,46.83479309082031,47.69004820787776,46.759104880985596,47.629500527219975,16055400
2020-02-07,46.52449035644531,46.66829366050451,46.214175836057045,46.47907741911628,15112500
2020-02-10,46.03313064575195,46.46306087877595,45.77210209867669,46.43235094884707,20934500
2020-02-11,46.47072982788086,46.74711329787758,46.19434635788413,46.509118698782366,14908700
2020-02-12,47.038856506347656,47.238465183467255,46.4937684566557,47.09259741667447,17862100
2020-02-13,46.77783203125,47.15401843617827,46.493772490781275,46.877637842799636,16949400
2020-02-14,46.562862396240234,46.95440371644501,46.278799963562825,46.94672769900014,10855300
2020-02-18,45.971710205078125,46.36325153147073,45.6415858051946,46.17899782328358,18948500
2020-02-19,46.324867248535156,46.53983089202005,45.93332590809337,46.14828955157827,12804900
2020-02-20,45.956356048583984,46.478413112051506,45.848874228810075,46.24041556208074,14817200
2020-02-21,45.39592361450195,45.687659213661014,45.13489502196026,45.687659213661014,20315700
2020-02-24,43.2692985534668,44.37482960067919,43.2692985534668,44.23663785369515,32096600
2020-02-25,41.61100769042969,43.5687205385902,41.43442996743941,43.5687205385902,36414500
2020-02-26,40.697410583496094,42.08700445970631,40.635993639133716,41.879716781244404,29801000
2020-02-27,38.24834442138672,40.259798097505566,38.23298945547311,39.699355020629945,48141300
2020-02-28,39.492061614990234,39.492061614990234,36.85874538233575,37.44222228732839,62446700
2020-03-02,41.36532974243164,41.37300576059966,39.25407037835186,40.37495646513033,38127600
2020-03-03,39.384586334228516,41.5726206980892,39.13891273198358,41.41907396452103,50580700
2020-03-04,40.24444580078125,40.29051070157732,39.24639637948359,40.09857800791775,24079600
